Name,Description,Requirements,Reward,Type,Sub_Type,Heist,Difficulty,Status,Completion Date,Source
Coming in Hot,"On day 1 of the Watchdogs job, don't let the cops shoot and destroy the escape vehicle.",,,Achievement,Heist,Watchdogs,Normal,Incomplete,,Base Game
Fish A.I.,"On day 2 of the Watchdogs job, throw a loot bag into the sea, hoping fish move away as it gets near.",,,Achievement,Heist,Watchdogs,Normal,Incomplete,,Base Game
F in Chemistry,"On day 1 of the Rats job or the Cook Off job, blow up the lab.",,,Achievement,Heist,Rats,Normal,Incomplete,,Base Game
Caribbean Pirate,"On day 2 of the Rats job, bring additional meth bags to the trade but steal your payment instead.","On day 2 of the Rats job, bring additional meth bags to the trade, but steal your payment instead.",,Achievement,Heist,Rats,Normal,Incomplete,,Base Game
Short Fuse,"On day 3 of the Rats job, get away with 7 bags without defusing any bombs.",,,Achievement,Heist,Rats,Normal,Incomplete,,Base Game
Painting Yourself Into a Corner,"On day 1 of the Framing Frame job, steal all sold paintings without being seen.",,,Achievement,Heist,Framing Frame,Normal,Incomplete,,Base Game
Big Deal,"On day 2 of the Framing Frame job, trade 9 paintings.",,,Achievement,Heist,Framing Frame,Normal,Incomplete,,Base Game
I Wasn't Even There!,"On day 3 of the Framing Frame job, send the gold by zip-line without ever tripping the alarm.",,,Achievement,Heist,Framing Frame,Normal,Incomplete,,Base Game
I Knew What I Did Was Wrong,"On day 1 of the Big Oil job, enter the basement, open the ATM machines and take the loot.",,,Achievement,Heist,Big Oil,Normal,Incomplete,,Base Game
Doctor Fantastic,"On day 2 of the Big Oil job, complete the heist with the first engine being correct.",,,Achievement,Heist,Big Oil,Normal,Incomplete,,Base Game
Diamonds Are Forever,"In the Jewelry store job, steal and secure 4 bags without the escape car leaving the first time.",,,Achievement,Heist,Jewelry Store,Normal,Incomplete,,Base Game
Let's Do Th...,"In the Ukrainian Job, complete the heist within 35 seconds.",,,Achievement,Heist,Ukrainian Job,Normal,Incomplete,,Base Game
"Yeah, He's a Gold Digger","In the Four Stores job, find a gold bar in a safe.",,,Achievement,Heist,Four Stores,Normal,Incomplete,,Base Game
I'm Going All-in!,"In the Nightclub job, put a bag filled with money on the poker table.",,,Achievement,Heist,Nightclub,Normal,Incomplete,,Base Game
Shoot the Glass!,"In the Mallcrasher job, destroy all windows in the mall.",,,Achievement,Heist,Mallcrasher,Normal,Incomplete,,Base Game
Lord of War,"On day 1 of the Firestarter job, steal all the weapons from the hangar.",,,Achievement,Heist,Firestarter,Normal,Incomplete,,Base Game
Guessing Game,"On day 2 of the Firestarter job, complete the heist in stealth without hacking the computer.",,,Achievement,Heist,Firestarter,Normal,Incomplete,,Base Game
The First Line,"On day 3 of the Firestarter job, find the rare hockey poster of the OVERKILL hockey team.",,,Achievement,Heist,Firestarter,Normal,Incomplete,,Base Game
King of the Hill,"In the Park escape, ensure that no law enforcement enters the park before the escape van arrives.",,,Achievement,Heist,Park Escape,Normal,Incomplete,,Base Game
You Shall Not Pass!,"In the Overpass escape, don't let the cops set foot on the bridge before you can escape.",,,Achievement,Heist,Overpass Escape,Normal,Incomplete,,Base Game
"Cappuccino to Go, Please","In the Cafe escape, secure all loot and escape within 30 seconds of the escape van arriving.",,,Achievement,Heist,Cafe Escape,Normal,Incomplete,,Base Game
Bullet Dodger,"In the Street escape, complete the escape without letting any enemy snipers die.","In the Street escape, complete the escape without killing any enemy snipers.",,Achievement,Heist,Street Escape,Normal,Incomplete,,Base Game
"They See Me Baggin', They Hatin'","On the Garage escape, get away with 8 bags.",,,Achievement,Heist,Garage Escape,Normal,Incomplete,,Base Game
Tip the Scales,Add money to the scales,Add money to the scales. The Lady Justice statue can be found in the new Safehouse by upgrading John Wick's Shooting Range to level 3.,,Achievement,Progression,,Normal,Incomplete,,Base Game
How Do You Like Me Now?,Equip an armor for the first time.,,,Achievement,Inventory,,Normal,Incomplete,,Base Game
Man of Iron,Equip the Improved Combined Tactical Vest.,,,Achievement,Inventory,,Normal,Incomplete,,Base Game
Would You Like Your Receipt?,Buy a weapon for the first time.,,,Achievement,Inventory,,Normal,Incomplete,,Base Game
Armed to the Teeth,Modify a weapon for the first time.,,,Achievement,Inventory,,Normal,Incomplete,,Base Game
Fully Loaded,Own 9 weapons.,,,Achievement,Inventory,,Normal,Incomplete,,Base Game
Weapon Collector,Own 18 weapons.,,,Achievement,Inventory,,Normal,Incomplete,,Base Game
Masked Villain,Modify a mask for the first time.,,,Achievement,Inventory,,Normal,Incomplete,,Base Game
No One Cared Who I Was...,Until I put on the mask.,,,Achievement,Inventory,,Normal,Incomplete,,Base Game
"I Got It, I Got It!",Catch a bag mid-air.,,,Achievement,Misc,,Normal,Incomplete,,Base Game
No Turning Back,Complete your first job.,,,Achievement,Progression,,Normal,Incomplete,,Base Game
I'm a Healer-Tank-Damage-Dealer,Spend 10 skill points in each skill tree.,,,Achievement,Inventory,,Normal,Incomplete,,Base Game
Spend Money to Make Money,Spend $1.000.000 in total cash.,,,Achievement,Misc,,Normal,Incomplete,,Base Game
Going Places,Gain $1.000.000 in total spendable cash.,,,Achievement,Misc,,Normal,Incomplete,,Base Game
You Gotta Start Somewhere,Reach reputation level 5.,,,Achievement,Progression,,Normal,Incomplete,,Base Game
Guilty of Crime,Reach reputation level 10.,,,Achievement,Progression,,Normal,Incomplete,,Base Game
Smooth Criminal,Reach reputation level 25.,,,Achievement,Progression,,Normal,Incomplete,,Base Game
Armed and Dangerous,Reach reputation level 50.,,,Achievement,Progression,,Normal,Incomplete,,Base Game
Career Criminal,Reach reputation level 75.,,,Achievement,Progression,,Normal,Incomplete,,Base Game
Most Wanted,Reach reputation level 100.,,,Achievement,Progression,,Normal,Incomplete,,Base Game
Like an Angry Bear!,"Equip the ""Mark"" mask. Celebrating 2 years of heists.","Equip the ""Mark"" mask. Celebrating 2 years of heists, you can now unlock the ""Mark"" mask by simply joining the PAYDAY 2 Official Group on Steam.",,Achievement,Inventory,,Normal,Incomplete,,Payday 2 Year Anniversary
From Russia With Love,"While wearing the ""Mark"" mask, complete 25 of Vlad's jobs on the OVERKILL difficulty or above.","While wearing the “Mark” mask, finish 25 of Vlad's jobs on the OVERKILL difficulty or above.",,Achievement,Heist,,Overkill,Incomplete,,Halloween Event 2013
I Am the One Who Knocks,"On day 1 of the Rats job, cook 3 bags worth of meth without letting any law enforcer enter the house.",,,Achievement,Heist,Rats,Normal,Incomplete,,Halloween Event 2013
Full Measure,"On day 1 of the Rats job, cook and secure 7 bags worth of meth without blowing up the lab on the OVERKILL difficulty or above.",,,Achievement,Heist,Rats,Overkill,Incomplete,,Halloween Event 2013
Afraid of the Dark,"On day 3 of the Framing Frame job, while doing plan B, don't let law enforcers pull the power.","On day 3 of the Framing Frame job, while doing plan B, do not let law enforcers pull the power.",,Achievement,Heist,Framing Frame,Normal,Incomplete,,Halloween Event 2013
Witch Doctor,"While wearing the ""Witch"" mask from the Halloween event, revive 50 crew members.","While wearing the “Witch” mask from the Halloween event, revive 50 crew members.",,Achievement,Equipment,,Normal,Incomplete,,Halloween Event 2013
It's Alive! IT'S ALIVE!,"While wearing the ""Frank"" mask from the Halloween event, get electrocuted by a Taser 25 times.","While wearing the “Frank” mask from the Halloween event, get electrocuted by a Taser 25 times.",,Achievement,Equipment,,Normal,Incomplete,,Halloween Event 2013
Pump-Action,"While wearing the ""Pumpkin"" mask from the Halloween event, kill 666 enemies using only shotguns.","While wearing the “Pumpkin” mask from the Halloween event, kill 666 enemies using only shotguns.",,Achievement,Equipment,,Normal,Incomplete,,Halloween Event 2013
